ASA [m^2/cm^3],CellV [A^3],Df,Di,Dif,NASA [m^2/cm^3],POAV [cm^3/g],POAVF,PONAV [cm^3/g],PONAVF,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,logKH_CH4
0.0,3263.98,3.54646,8.24655,8.24655,1018.12,0.0,0.0,0.270902,0.40338,1.48902,1018.12,683.751729325328,0.40338,0.270902,-3.719225922552933
0.0,6757.27,3.63188,10.37997,10.37997,994.557,0.0,0.0,0.267113,0.38424,1.43849,994.557,691.3895821312626,0.38424,0.267113,-3.89027974841338
307.16,3292.77,4.05314,4.50507,4.50325,0.0,0.0945497,0.1489,0.0,0.0,1.57483,307.16,195.0432745121696,0.1489,0.0945497,-4.593027443504259
1366.32,1896.54,6.220269999999999,7.510860000000001,7.50991,0.0,0.468313,0.42086,0.0,0.0,0.8986729999999999,1366.32,1520.3750418672869,0.42086,0.468313,-4.85319313447153
0.0,12676.3,2.96045,5.5336300000000005,4.3048,128.842,0.0,0.0,0.0329539,0.05044,1.53062,128.842,84.1763468398427,0.05044,0.0329539,-5.0846735208404334
0.0,4064.17,2.69056,5.327369999999999,5.32598,363.056,0.0,0.0,0.119696,0.1803799999999999,1.50699,363.056,240.9146709666288,0.1803799999999999,0.119696,-4.216588852590533
1193.32,2426.68,3.897,4.92906,4.88525,0.0,0.309471,0.3956400000000001,0.0,0.0,1.27844,1193.32,933.418854228591,0.3956400000000001,0.309471,-4.557092418636749
0.0,1712.78,3.46915,5.70413,5.53584,787.5310000000001,0.0,0.0,0.207081,0.2733,1.31977,787.5310000000001,596.7183675943535,0.2733,0.207081,-3.884902291726816
1024.5,3341.82,3.84312,5.32196,5.29977,0.0,0.284277,0.32476,0.0,0.0,1.14241,1024.5,896.7883684491558,0.32476,0.284277,-4.992990894481103
0.0,4977.69,3.10199,4.342890000000001,4.32786,147.213,0.0,0.0,0.134395,0.14088,1.04826,147.213,140.43557895941842,0.14088,0.134395,-5.028584048933667
0.0,1581.92,2.47417,4.70523,4.70523,254.923,0.0,0.0,0.0937505,0.11986,1.2785,254.923,199.3922565506453,0.11986,0.0937505,-4.261534181283341
1728.94,2443.48,4.5721,5.9848300000000005,5.97294,0.0,0.540431,0.5109,0.0,0.0,0.945356,1728.94,1828.8771637351435,0.5109,0.540431,-4.524080506898414
0.0,4392.09,3.55939,5.00891,4.98119,698.4630000000001,0.0,0.0,0.218037,0.2567,1.17732,698.4630000000001,593.265212516563,0.2567,0.218037,-4.251848424238918
0.0,2370.55,2.41831,4.4171,4.41156,377.616,0.0,0.0,0.161076,0.18764,1.16491,377.616,324.15894790155465,0.18764,0.161076,-4.0229292411830855
2166.66,6119.51,7.85866,12.69533,12.69533,0.0,1.02305,0.7208600000000001,0.0,0.0,0.7046169999999999,2166.66,3074.9470989204065,0.7208600000000001,1.02305,-5.279090222741536
0.0,5012.01,2.71797,4.9133,4.44189,143.72299999999998,0.0,0.0,0.0714564,0.10396,1.45487,143.72299999999998,98.78752053448076,0.10396,0.0714564,-3.983919813018375
0.0,1205.13,3.05894,4.49265,4.49265,443.942,0.0,0.0,0.126431,0.17884,1.4145299999999998,443.942,313.84417439008007,0.17884,0.126431,-4.590293377203452
928.09,3934.4,7.71117,7.9604300000000014,7.9604300000000014,0.0,0.316382,0.3215,0.0,0.0,1.01618,928.09,913.3126020980536,0.3215,0.316382,-4.636606162156335
0.0,3182.54,3.33225,4.537730000000001,4.537730000000001,207.114,0.0,0.0,0.0671494,0.13154,1.95892,207.114,105.72866681640906,0.13154,0.0671494,-4.5935092127275725
0.0,3095.39,3.3179,4.4873,4.4873,207.468,0.0,0.0,0.0684591,0.1338,1.95445,207.468,106.15160275269255,0.1338,0.0684591,-4.737257105475641
0.0,3126.57,3.3459800000000004,4.50589,4.50589,229.629,0.0,0.0,0.0776967,0.14924,1.9208,229.629,119.54862557267803,0.14924,0.0776967,-4.743412128932923
0.0,1264.41,3.67177,4.336530000000001,4.336530000000001,259.372,0.0,0.0,0.1277859999999999,0.20986,1.64227,259.372,157.93505331035703,0.20986,0.1277859999999999,-4.9927089405482645
410.805,1247.55,3.97457,4.47026,4.47026,16.8039,0.1086819999999999,0.18244,0.0129389,0.02172,1.6786599999999998,427.6089,254.7322864665865,0.2041599999999999,0.1216208999999999,-4.866687878099161
1261.25,3719.28,4.1024,5.20253,5.19923,0.0588065,0.45513,0.4006400000000001,0.0,0.0,0.8802760000000001,1261.3088065,1432.8560661656118,0.4006400000000001,0.45513,-4.842358914940738
967.331,1734.99,3.98997,4.61291,4.61291,0.0,0.334089,0.33316,0.0,0.0,0.997219,967.331,970.0286496747456,0.33316,0.334089,-4.939222860937615
1155.76,3562.63,4.8221,5.88855,5.88855,0.0,0.372928,0.36222,0.0,0.0,0.971286,1155.76,1189.927580547851,0.36222,0.372928,-4.711183118805746
1057.24,11141.0,11.44483,13.09989,13.09989,11.7344,0.442798,0.4380199999999999,0.0105337,0.01042,0.989209,1068.9744,1080.635538091546,0.4484399999999999,0.4533317,-4.704514269157552
791.3610000000001,3253.57,3.81208,5.25824,5.25128,0.0,0.247967,0.32966,0.0,0.0,1.32945,791.3610000000001,595.2544285230733,0.32966,0.247967,-4.261923759584386
336.16900000000004,9626.89,4.34376,5.1449,5.0780400000000006,0.0,0.0885951,0.11442,0.0,0.0,1.29149,336.16900000000004,260.2954726711008,0.11442,0.0885951,-4.1954046955361655
1564.68,2587.91,4.53541,6.46265,6.4607600000000005,0.0,0.433779,0.4461,0.0,0.0,1.0284,1564.68,1521.4702450408402,0.4461,0.433779,-4.51380905135635
1561.46,8433.6,4.65529,6.67933,6.67386,0.0,0.469128,0.44414,0.0,0.0,0.946736,1561.46,1649.3087830187087,0.44414,0.469128,-4.170782451224944
1504.61,6245.29,4.46081,6.36216,6.32257,0.0,0.5393319999999999,0.4368,0.0,0.0,0.8098909999999999,1504.61,1857.7932092096344,0.4368,0.5393319999999999,-4.714710551005986
731.738,4837.87,5.232130000000001,6.46964,6.46178,0.0,0.18333,0.218,0.0,0.0,1.18911,731.738,615.3661141526014,0.218,0.18333,-5.149234947320858
0.0,3118.4,3.07393,4.04434,4.03643,39.7233,0.0,0.0,0.0315708,0.0454399999999999,1.43931,39.7233,27.598849448694164,0.0454399999999999,0.0315708,-5.7020404373054125
0.0,2365.53,3.3113200000000003,4.60365,4.192740000000001,154.475,0.0,0.0,0.0925455,0.15536,1.67874,154.475,92.01841857583663,0.15536,0.0925455,-5.445547184151347
